nazwa_pliku,waga_kb,szerokosc,wysokosc,proporcje,jasnosc,kolor_R,kolor_G,kolor_B
5194e3f0a8.jpg,64.4,1080,1328,0.81,205.44,70,133,216
51ec9f9d28.jpg,34.1,720,499,1.44,97.44,89,95,113
522a822645.jpg,29.82,526,539,0.98,139.15,57,45,44
524950bb69.jpg,24.43,756,710,1.06,233.86,18,18,18
5256328674.jpg,68.26,1080,1028,1.05,115.74,248,248,248
5309497958.jpg,68.57,901,960,0.94,123.96,135,130,122
53e61f6257.jpg,296.47,1080,791,1.37,101.95,31,29,31
53f2ca9f0f.jpg,222.11,1080,593,1.82,61.61,54,31,26
54218331ad.jpg,77.49,640,854,0.75,95.83,62,73,87
542b100707.jpg,95.96,1080,1044,1.03,84.31,60,48,44
544f3ff308.jpg,726.38,1080,1326,0.81,71.68,49,35,28
5450fb80ee.jpg,34.48,600,488,1.23,53.46,37,25,21
5464e3813d.jpg,30.04,552,496,1.11,98.87,35,34,35
54683fd51f.jpg,271.81,1350,1687,0.8,184.85,204,195,179
553f440446.jpg,523.12,1080,1310,0.82,89.84,42,44,39
5574fde5af.jpg,45.81,800,650,1.23,35.72,19,25,21
55967fd2e4.jpg,58.67,1080,1215,0.89,80.4,25,25,20
562305176b.jpg,120.72,946,2048,0.46,69.58,19,21,28
569952f2d8.jpg,344.28,1080,1029,1.05,126.83,59,49,44
56f965eac4.jpg,382.56,1080,1141,0.95,75.16,48,35,30
573875ed54.jpg,35.65,505,600,0.84,94.71,37,31,43
5782670a2c.jpg,31.19,449,613,0.73,122.4,143,145,157
585923781a.jpg,38.32,1080,849,1.27,140.86,88,108,142
5889e6ea08.jpg,45.35,721,900,0.8,146.11,160,146,126
590298605a.jpg,171.72,1080,1440,0.75,94.06,199,202,205
597a4e7812.jpg,460.04,1080,957,1.13,88.14,215,202,197
5984dbfd5f.jpg,289.92,1080,1057,1.02,201.33,214,202,189
59dc14fb71.jpg,36.72,782,815,0.96,173.05,195,201,216
5a082bfbd3.jpg,265.68,1080,836,1.29,202.16,232,227,219
5a43a00018.jpg,37.63,750,500,1.5,45.06,26,21,16
5b1a96eb73.jpg,61.01,1080,983,1.1,163.18,91,68,66
5bb9104f72.jpg,38.19,720,699,1.03,50.31,15,15,16
5bcfeb9b38.jpg,25.48,526,526,1.0,156.62,160,113,88
5be53d1549.jpg,105.45,1080,980,1.1,102.35,33,35,23
5bfa0cbe5d.jpg,637.16,1080,1112,0.97,95.14,211,147,132
5c04de5441.jpg,19.03,480,497,0.97,194.41,202,203,201
5cc0d7c4aa.jpg,48.88,712,712,1.0,108.75,113,114,103
5cd6691d50.jpg,59.39,1080,1204,0.9,84.49,51,51,29
5ce53234d2.jpg,68.51,596,986,0.6,96.77,113,102,99
5d4e5612db.jpg,46.5,1080,1029,1.05,132.43,33,33,18
5dc15feb43.jpg,55.87,960,960,1.0,84.93,53,42,35
5e3bec6d21.jpg,671.89,1080,1327,0.81,134.8,191,171,101
5e6dcefa28.jpg,533.27,1080,1274,0.85,120.52,64,48,42
5e71fe09c2.jpg,404.79,1080,1210,0.89,57.67,42,37,46
5e82c7910e.jpg,197.27,1080,1350,0.8,156.63,226,214,206
5ea1546c78.jpg,30.92,615,960,0.64,53.41,31,29,26
5eb82999c1.jpg,33.2,1080,661,1.63,193.38,230,205,138
5ebff3a3c0.jpg,14.44,400,329,1.22,69.29,72,63,55
5f0cbf2d85.jpg,298.58,1080,637,1.7,129.09,50,51,52
5f6027ab1a.jpg,328.72,1080,761,1.42,112.93,20,46,35
5f6b7ab5d5.jpg,43.91,1080,1080,1.0,25.93,15,16,16
5f851335cc.jpg,489.78,1080,1063,1.02,123.04,65,94,108
5f8767a37b.jpg,13.57,373,280,1.33,105.95,61,49,44
5fb618006e.jpg,25.12,745,385,1.94,116.55,45,37,32
5fb75049da.jpg,37.22,828,821,1.01,63.3,53,44,54
5fb9c9f428.jpg,236.71,1080,729,1.48,77.65,39,33,32
5fc4bdcb98.jpg,640.55,1080,1320,0.82,69.35,22,34,32
60fa735a1d.jpg,330.05,1080,1084,1.0,58.89,26,31,27
619c33d85d.jpg,70.4,750,744,1.01,122.62,241,240,239
61c389cc98.jpg,299.68,1080,784,1.38,99.22,42,44,35
622e5a5b37.jpg,335.34,1080,1312,0.82,158.84,128,112,104
62565f84b7.jpg,54.06,488,960,0.51,168.59,181,177,169
627d41d88b.jpg,112.3,564,697,0.81,75.87,62,40,25
6334d2aaba.jpg,0.0,0,0,0.0,0.0,0,0,0
639ce3fa5c.jpg,49.48,600,528,1.14,108.3,225,198,154
639d3acf93.jpg,479.21,1080,1040,1.04,31.09,28,21,17
63d5503e95.jpg,32.99,549,903,0.61,93.92,82,94,93
64531d57ff.jpg,432.16,1080,1125,0.96,168.48,196,187,181
64f3d56350.jpg,40.42,749,862,0.87,150.65,68,57,50
64f56a7097.jpg,284.62,1080,1029,1.05,142.48,39,25,17
6509ec895f.jpg,425.2,1080,938,1.15,110.13,171,150,115
6549c48782.jpg,68.99,665,778,0.85,113.48,72,62,55
65828a9258.jpg,33.13,571,960,0.59,31.31,18,19,21
659865324e.jpg,355.63,1080,736,1.47,112.47,95,93,103
65ba682469.jpg,415.1,1080,1222,0.88,140.39,215,203,177
65dab6f491.jpg,32.71,720,696,1.03,107.88,112,91,73
65fc1a8064.jpg,247.43,1080,1006,1.07,101.42,92,60,58
662e80a0c4.jpg,61.87,750,970,0.77,117.89,52,42,38
66605db1f0.jpg,23.06,526,526,1.0,134.73,47,36,26
66756dbf30.jpg,255.59,1080,973,1.11,46.8,44,30,27
667b63a37b.jpg,502.36,1080,1010,1.07,104.1,56,56,62
6691031948.jpg,428.81,1080,1266,0.85,69.11,34,25,22
66b2bdaa6a.jpg,87.35,1134,910,1.25,177.14,221,211,194
6709fc22ad.jpg,74.1,1080,1099,0.98,170.63,191,183,178
670ef87e3a.jpg,34.87,736,732,1.01,88.08,49,51,53
6760235c1d.jpg,670.6,1080,1056,1.02,114.53,230,203,169
687b4daad9.jpg,72.24,1080,1062,1.02,177.78,85,82,80
6880afa704.jpg,49.87,750,894,0.84,126.23,207,198,178
68e42f66e9.jpg,33.57,572,514,1.11,102.17,51,37,47
68eb15a76c.jpg,44.96,664,906,0.73,98.5,125,95,76
6988ac3b0d.jpg,92.0,999,1438,0.69,105.44,50,36,41
69a8f674e8.jpg,81.85,1080,1061,1.02,125.37,57,36,25
6a7a7bebd2.jpg,188.4,1014,1200,0.84,134.64,73,87,61
6ad251de67.jpg,76.42,1080,1264,0.85,128.79,32,32,48
6ade5c08b9.jpg,173.79,1080,1055,1.02,77.71,33,30,37
6afb9983b1.jpg,378.95,1080,1056,1.02,111.13,49,46,47
6b21503d1b.jpg,445.02,1080,975,1.11,149.72,167,196,197
6b24771e68.jpg,161.29,1080,801,1.35,241.42,52,55,57
6b2bf1599b.jpg,77.16,1080,833,1.3,78.58,61,61,62
6ba192514b.jpg,79.95,1080,1094,0.99,68.47,26,16,15
6c5d96e4a7.jpg,411.08,839,1035,0.81,121.64,162,111,93
6ca4bc8d65.jpg,449.0,1080,1041,1.04,163.87,174,184,188
6d6f7a2b77.jpg,236.11,1080,1014,1.07,189.86,179,172,169
6d9d6ed8e4.jpg,33.44,760,716,1.06,220.0,56,49,36
6dd8ade5ab.jpg,35.76,828,828,1.0,35.19,32,26,19
6e06cec7c5.jpg,703.97,1080,1229,0.88,128.8,181,163,158
6e0f0221ec.jpg,42.05,720,840,0.86,89.19,36,46,47
6e46610802.jpg,160.51,1080,410,2.63,69.05,44,42,43
6e69115b39.jpg,65.43,937,1171,0.8,145.34,214,201,208
6e6a29da3b.jpg,41.47,1080,886,1.22,120.63,201,172,148
6ee8f4277c.jpg,30.96,947,960,0.99,17.1,197,73,75
6f61944bc7.jpg,442.5,1080,1040,1.04,207.36,35,49,61
6fd040e0d8.jpg,431.43,500,589,0.85,82.5,42,35,28
700da5e198.jpg,73.87,1080,1073,1.01,122.91,202,142,107
702c3ec412.jpg,83.67,1080,810,1.33,91.17,69,45,49
7068a7870b.jpg,492.65,1080,872,1.24,126.79,158,114,127
70e12c2efb.jpg,441.5,1080,1017,1.06,116.01,109,109,73
71058db6e2.jpg,93.63,1024,892,1.15,120.47,226,217,216
712eeeda99.jpg,78.48,1080,1080,1.0,65.0,37,30,25
71528496da.jpg,311.22,1080,585,1.85,114.48,119,95,88
7187230f4e.jpg,554.46,1080,1045,1.03,84.85,57,51,55
7202d7aae6.jpg,54.89,720,706,1.02,120.78,50,53,64
7284aff1f3.jpg,51.4,960,530,1.81,111.26,227,156,177
730ceb23fb.jpg,541.31,1080,1069,1.01,81.84,60,50,41
7374b3a705.jpg,157.14,1080,869,1.24,25.48,20,19,20
739c83c721.jpg,51.97,800,877,0.91,134.02,66,62,73
73d28ec1d4.jpg,218.81,1080,1035,1.04,63.27,49,27,13
73d67c526f.jpg,197.27,1080,1033,1.05,40.13,34,32,34
73f04c7701.jpg,52.13,903,1208,0.75,84.15,105,79,71
74421e193e.jpg,415.88,1080,1069,1.01,70.75,74,49,38
746d39aa34.jpg,57.03,798,960,0.83,130.82,177,176,162
74738b7894.jpg,29.15,666,667,1.0,139.64,37,19,22
749b042dfe.jpg,106.36,1000,873,1.15,138.29,211,169,70
74ead43873.jpg,291.22,1080,1070,1.01,135.25,137,97,86
7517d5e4a3.jpg,61.5,962,1139,0.84,114.52,61,68,67
75426d69bf.jpg,47.16,720,693,1.04,108.95,67,57,50
7559423853.jpg,98.33,826,960,0.86,103.68,202,93,42
75ebaeeeed.jpg,475.64,1080,1057,1.02,112.56,28,26,26
7622dfb71e.jpg,86.63,764,1440,0.53,91.18,44,38,35
76f024fd1d.jpg,40.58,828,681,1.22,162.18,220,184,172
77eda0616e.jpg,79.76,1080,1055,1.02,90.78,189,163,133
77f8bbce02.jpg,44.96,720,860,0.84,196.85,203,198,201
780f011696.jpg,350.25,1080,584,1.85,116.18,67,54,51
78508a4ee9.jpg,485.8,1080,1303,0.83,172.9,234,223,217
78c72abfcb.jpg,59.95,897,1215,0.74,71.79,16,27,39
793e8ae354.jpg,38.61,665,666,1.0,65.83,23,35,33
7967af0dd4.jpg,611.24,1080,1213,0.89,97.22,58,43,40
79a1950110.jpg,414.09,1080,1290,0.84,156.16,178,170,163
7a53a56eb6.jpg,177.01,1006,1440,0.7,97.06,75,74,66
7b4373ff90.jpg,455.38,1080,1002,1.08,121.2,199,191,165
7b5bb9d3e0.jpg,0.0,0,0,0.0,0.0,0,0,0
7b78eca721.jpg,86.81,898,1121,0.8,89.78,60,37,32
7b7bc5f625.jpg,72.12,665,792,0.84,75.34,57,51,44
7bf7b344a7.jpg,50.01,1080,1260,0.86,96.72,105,94,80
7c2c542c7b.jpg,156.79,295,426,0.69,82.91,113,84,69
7c7226198d.jpg,48.23,720,720,1.0,93.94,43,28,23
7c891b4b2f.jpg,294.09,1080,853,1.27,191.87,222,205,195
7daadaa865.jpg,18.62,720,418,1.72,170.47,197,184,181
7dbc30b7ad.jpg,263.54,1080,582,1.86,130.17,35,25,23
7e31a018ac.jpg,39.61,800,848,0.94,212.38,191,195,189
7e552ff965.jpg,35.28,1080,608,1.78,41.32,43,31,18
7ea16e89cf.jpg,67.47,1080,776,1.39,92.52,61,50,51
7f0050e129.jpg,290.85,1003,794,1.26,153.79,231,177,94
7f165b23f0.jpg,176.87,1032,1032,1.0,74.4,192,185,180
7f2899c697.jpg,372.79,1080,1030,1.05,160.37,197,180,169
7f49301fa2.jpg,59.87,898,927,0.97,70.62,49,41,25
7fa2a83fce.jpg,34.11,517,540,0.96,101.28,138,96,90
80273a80f2.jpg,57.52,1041,1000,1.04,114.84,47,40,40
802990fa9c.jpg,70.78,1080,1203,0.9,111.34,76,66,61
80ab6dd4d8.jpg,30.5,960,540,1.78,170.02,214,197,178
813b72887a.jpg,149.88,722,1069,0.68,193.36,58,52,44
815c14f7ac.jpg,271.78,854,841,1.02,120.35,68,70,61
81cb2b8f85.jpg,39.94,986,946,1.04,68.76,21,25,23
81cf00de17.jpg,208.39,737,991,0.74,77.49,34,32,45
8209615c66.jpg,383.26,1041,899,1.16,192.96,209,200,180
821a4d261d.jpg,518.73,1080,1311,0.82,99.6,27,31,42
822b2215d0.jpg,313.07,535,520,1.03,62.96,51,42,37
82756f9f44.jpg,311.33,1080,1040,1.04,164.47,186,171,163
836d5dcb12.jpg,18.56,450,623,0.72,86.11,34,26,13
8371876728.jpg,513.63,1080,1316,0.82,114.71,54,55,54
8436cb9f84.jpg,58.79,765,960,0.8,84.85,214,206,194
84a5159cc4.jpg,473.75,1080,1040,1.04,85.16,49,56,49
860d2a5572.jpg,61.78,697,960,0.73,97.96,38,50,55
86162454e4.jpg,70.46,1080,720,1.5,86.81,55,64,70
86396f7713.jpg,92.21,633,791,0.8,95.76,60,36,36
863fa6e19f.jpg,39.74,750,652,1.15,111.72,126,99,75
86597e5ab5.jpg,137.25,1080,1350,0.8,112.62,124,87,72
867002761f.jpg,112.61,1080,1282,0.84,81.22,40,32,32
86c548db2f.jpg,44.85,960,524,1.83,87.77,58,53,48
87806ea012.jpg,190.2,1080,607,1.78,192.13,227,219,214
87938adeef.jpg,49.03,1080,830,1.3,224.99,192,172,127
884ac2b0fd.jpg,59.21,1054,1048,1.01,58.11,14,15,14
8884ccbbaf.jpg,52.17,1080,1037,1.04,171.13,163,127,105
889e8cad9c.jpg,43.69,1080,1007,1.07,44.16,39,28,21
89167e2d95.jpg,412.38,1080,1058,1.02,66.15,29,59,39
898e3939c5.jpg,433.75,1080,1046,1.03,112.63,119,119,116
89c31748e1.jpg,64.27,828,824,1.0,109.34,67,58,51
89d976ae01.jpg,73.03,631,960,0.66,67.48,23,27,32
8a1d5fc8a1.jpg,47.72,1080,1080,1.0,161.21,43,37,36
8a5680a44a.jpg,129.5,1004,1016,0.99,108.73,61,56,42
8a6ad41553.jpg,262.01,1080,1330,0.81,178.82,200,189,183
8a86c10ddc.jpg,450.88,1080,1030,1.05,180.86,205,181,177
8b269ec19a.jpg,60.07,735,788,0.93,169.43,99,112,114
8bcbeb33ef.jpg,52.87,1080,1007,1.07,114.51,82,65,41
8bd4ec3f40.jpg,70.75,1080,1080,1.0,74.36,45,67,63
8c16665222.jpg,47.16,960,745,1.29,150.68,186,166,132
8c2adc86f9.jpg,44.24,1080,680,1.59,70.48,49,53,40
8dc7c85314.jpg,441.62,1080,1071,1.01,119.79,113,95,86
8e696a3c0f.jpg,53.73,719,962,0.75,51.5,12,30,43
8e6a11073f.jpg,198.8,960,2160,0.44,89.3,222,154,116
8e7016508c.jpg,361.45,1080,920,1.17,167.47,64,61,57
8e763c5596.jpg,474.45,1080,1237,0.87,81.86,49,52,46
8ecfa8eba3.jpg,196.55,1080,1038,1.04,236.15,60,56,57
8ef7832410.jpg,76.07,1080,978,1.1,60.62,40,34,38
8f1eac5796.jpg,42.44,665,689,0.97,106.16,54,49,43
8f6f49cfd2.jpg,107.61,1080,1025,1.05,107.63,110,94,62
8f7ed2cb40.jpg,41.12,814,768,1.06,180.26,153,211,216
8fcfe0358e.jpg,23.23,640,360,1.78,70.06,51,26,24
902379ad6e.jpg,21.82,828,621,1.33,35.03,27,26,29
906cd91365.jpg,327.85,1079,1272,0.85,38.21,179,154,195
90d93a49cf.jpg,69.32,1080,1080,1.0,169.13,237,228,227
90dc354183.jpg,50.41,720,734,0.98,178.11,219,200,196
90f74a3d37.jpg,27.92,526,592,0.89,98.72,41,41,45
91104b24ed.jpg,79.22,750,1050,0.71,142.62,195,187,172
917337cb54.jpg,138.14,1080,1622,0.67,128.55,173,152,158
91ac288511.jpg,249.27,1080,970,1.11,119.46,107,94,85
91d635704d.jpg,404.87,1080,1310,0.82,48.2,25,21,41
927e6f41e3.jpg,32.01,552,629,0.88,75.55,197,149,117
93a10902ec.jpg,214.93,1080,691,1.56,115.71,246,236,233
93b2178d02.jpg,49.13,735,614,1.2,78.11,33,34,57
93dd1113c3.jpg,21.51,500,546,0.92,56.63,184,184,186
93e00ca181.jpg,466.19,1080,1022,1.06,89.96,131,54,58
9433098620.jpg,71.79,960,955,1.01,105.67,71,85,105
94b258184e.jpg,36.81,680,623,1.09,129.09,67,72,67
94d06e81c2.jpg,304.99,1080,1047,1.03,68.3,71,30,29
9577297d4c.jpg,54.3,1080,836,1.29,58.78,180,138,137
95c9eabdc9.jpg,450.94,1080,1193,0.91,178.72,234,192,45
96092711e0.jpg,35.23,700,678,1.03,57.05,37,21,17
96182c151c.jpg,62.3,1080,1187,0.91,148.2,109,98,102
967a0e6a8b.jpg,66.12,720,889,0.81,130.74,80,75,80
968d7bb79d.jpg,354.19,1080,1058,1.02,47.18,21,17,15
968f8faa4b.jpg,220.38,1254,2048,0.61,85.76,55,54,55
9710c1ccdd.jpg,53.06,1039,1200,0.87,47.74,42,35,32
97364df62a.jpg,76.31,1080,1078,1.0,127.75,77,68,71
97b4b10074.jpg,53.65,1080,759,1.42,144.12,201,195,178
97d0184d94.jpg,1260.21,973,929,1.05,77.9,209,152,108
97fc9e3705.jpg,435.79,1080,1065,1.01,134.98,28,26,32
980be43ef9.jpg,40.58,1080,1047,1.03,32.7,15,15,15
984907489b.jpg,541.43,1080,1175,0.92,89.32,129,67,45
984e9c00a7.jpg,33.99,640,427,1.5,150.24,209,207,198
9867512884.jpg,256.36,1080,1209,0.89,236.01,61,62,64
989118dbb2.jpg,206.89,1035,975,1.06,139.85,95,83,89
98bc20c2c9.jpg,36.9,1080,1080,1.0,119.27,126,103,94
9931093ecf.jpg,59.92,1080,1051,1.03,162.36,179,164,148
994e931c2b.jpg,294.18,1080,1116,0.97,152.58,214,192,163
999075bf86.jpg,301.49,1080,693,1.56,88.61,39,34,35
9a5dd34274.jpg,65.47,952,960,0.99,115.2,217,195,193
9a5ecabdc3.jpg,67.91,960,845,1.14,125.25,72,75,91
9ab87681a5.jpg,16.14,535,610,0.88,36.33,33,33,67
9b1a826d1a.jpg,161.02,1080,652,1.66,34.13,18,21,30
9b2e8e1379.jpg,412.58,1056,1273,0.83,75.66,100,77,75
9b5963f5df.jpg,16.74,659,659,1.0,65.62,31,17,11
9bed7a1dfb.jpg,42.65,960,960,1.0,147.23,82,62,49
9c00b6a26c.jpg,66.44,883,837,1.05,35.76,15,14,12
9c18ccc670.jpg,65.67,1071,1070,1.0,62.2,45,38,32
9c7656d830.jpg,139.69,1080,1087,0.99,215.66,30,26,22
9c89021e51.jpg,289.9,1080,518,2.08,124.17,181,137,101
9ced5ef9af.jpg,25.05,633,644,0.98,82.4,22,21,21
9d7b374e3f.jpg,33.63,612,506,1.21,99.81,51,55,70
9d9fc62bd7.jpg,33.44,724,569,1.27,67.31,202,188,182
9da9817fb6.jpg,339.48,1080,1175,0.92,199.41,211,207,205
9e6b351839.jpg,513.96,1080,1006,1.07,75.38,40,30,30
9e8b7f6d33.jpg,404.72,1080,1064,1.02,110.5,68,38,24
9f8c5f44d2.jpg,58.82,962,953,1.01,84.41,52,51,58
9f907c26fc.jpg,34.32,592,592,1.0,95.09,27,21,14
9faf142319.jpg,229.85,1079,946,1.14,43.59,22,25,28
a09a3358c9.jpg,450.27,1080,1093,0.99,53.25,30,30,32
a170fd66b2.jpg,159.71,1080,706,1.53,140.37,121,80,68
a1863c08f7.jpg,56.8,768,960,0.8,86.69,71,45,38
a22cef6898.jpg,86.34,1080,1257,0.86,76.2,96,80,77
a2b26348f5.jpg,353.16,1080,1142,0.95,112.59,136,113,110
a2ca48e006.jpg,69.81,1080,950,1.14,154.37,53,52,51
a2e253d579.jpg,493.5,1073,1089,0.99,109.37,72,69,68
a3fd6e390b.jpg,248.8,708,789,0.9,112.25,130,94,74
a403748fe2.jpg,76.22,1080,1080,1.0,45.8,33,29,26
a418cb6982.jpg,32.32,700,697,1.0,60.47,200,176,177
a427eb3de6.jpg,133.25,1080,1366,0.79,133.67,75,57,61
a469209f7e.jpg,50.82,1080,910,1.19,181.97,47,41,39
a507ed28f2.jpg,104.73,1080,1156,0.93,107.96,34,42,58
a64ee4157a.jpg,299.27,1080,1042,1.04,177.53,163,141,121
a65d5bdaed.jpg,56.19,1080,1055,1.02,26.74,24,21,21
a65f73ab16.jpg,38.93,641,718,0.89,136.46,13,68,109
a66379596c.jpg,97.58,1080,1380,0.78,75.54,195,196,201
a6982ce488.jpg,82.29,960,941,1.02,154.75,198,202,202
a6b6d151d9.jpg,66.09,640,713,0.9,101.99,65,41,29
a6debb9a07.jpg,334.84,1080,813,1.33,116.94,119,93,69
a79bff62a2.jpg,75.01,960,960,1.0,53.57,42,37,44
a7bc7b7cbc.jpg,740.97,1080,1333,0.81,63.51,41,37,39
a7f3ed42a9.jpg,44.25,720,857,0.84,71.38,201,177,154
a81865f4fb.jpg,30.17,556,480,1.16,135.64,115,117,96
a82c8f369c.jpg,34.68,680,639,1.06,120.36,55,43,40
a87035f239.jpg,416.37,1065,1065,1.0,111.77,215,102,93
a8735a8bf2.jpg,62.81,1080,1108,0.97,203.77,232,227,225
a8e4d3d613.jpg,59.31,708,960,0.74,86.24,30,21,8
a9456b02e7.jpg,425.86,1080,1065,1.01,81.31,64,32,29
a96f5324e6.jpg,77.74,994,1138,0.87,110.56,6,6,6
a9d93216a1.jpg,79.96,700,1171,0.6,68.91,59,54,52
